School ID, Category, Category Type, Year, Composite Score Mean, Total Tested
609698,Overall,Overall,2013,15.3,355
609698,Overall,Overall,2014,15.6,306
609698,Overall,Overall,2015,15.0,221
610323,Overall,Overall,2007,15.1,72
610323,Overall,Overall,2008,14.8,90
610323,Overall,Overall,2009,15.1,82
610323,Overall,Overall,2010,15.2,41
610323,Overall,Overall,2011,14.6,55
610323,Overall,Overall,2012,14.2,158
610323,Overall,Overall,2013,14.3,110
610323,Overall,Overall,2014,14.8,81
610323,Overall,Overall,2015,14.2,97
610381,Overall,Overall,2008,16.4,104
610381,Overall,Overall,2009,16.4,114
610381,Overall,Overall,2010,16.4,126
610381,Overall,Overall,2011,16.3,132
610381,Overall,Overall,2012,16.9,114
610381,Overall,Overall,2013,16.1,130
610381,Overall,Overall,2014,16.4,118
610381,Overall,Overall,2015,15.6,88
609726,Overall,Overall,2001,19.6,106
609726,Overall,Overall,2002,19.4,110
609726,Overall,Overall,2003,19.2,154
609726,Overall,Overall,2004,20.6,205
609726,Overall,Overall,2005,20.5,195
609726,Overall,Overall,2006,20.3,200
609726,Overall,Overall,2007,21.2,154
609726,Overall,Overall,2008,21.5,173
609726,Overall,Overall,2009,21.1,165
609726,Overall,Overall,2010,21.2,177
609726,Overall,Overall,2011,21.5,172
609726,Overall,Overall,2012,21.8,186
609726,Overall,Overall,2013,21.8,188
609726,Overall,Overall,2014,23.1,176
609726,Overall,Overall,2015,22.4,187
610573,Overall,Overall,2014,,3
609760,Overall,Overall,2001,13.6,101
609760,Overall,Overall,2002,13.8,105
609760,Overall,Overall,2003,14.3,133
609760,Overall,Overall,2004,14.5,128
609760,Overall,Overall,2005,14.6,132
609760,Overall,Overall,2006,14.4,147
609760,Overall,Overall,2007,14.3,116
609760,Overall,Overall,2008,16.2,103
609760,Overall,Overall,2009,16.6,94
609760,Overall,Overall,2010,16.6,112
609760,Overall,Overall,2011,16.8,124
609760,Overall,Overall,2012,16.9,114
609760,Overall,Overall,2013,16.4,135
609760,Overall,Overall,2014,17.2,112
609760,Overall,Overall,2015,17.6,121
400115,Overall,Overall,2014,18.1,35
400115,Overall,Overall,2015,17.2,141
610340,Overall,Overall,2007,17.2,104
610340,Overall,Overall,2008,17.6,100
610340,Overall,Overall,2009,17.1,106
610340,Overall,Overall,2010,18.4,97
610340,Overall,Overall,2011,18.4,98
610340,Overall,Overall,2012,19.3,113
610340,Overall,Overall,2013,18.0,116
610340,Overall,Overall,2014,17.8,120
610340,Overall,Overall,2015,18.7,126
609753,Overall,Overall,2001,17.2,144
609753,Overall,Overall,2002,18.2,132
609753,Overall,Overall,2003,17.7,123
609753,Overall,Overall,2004,19.6,137
609753,Overall,Overall,2005,19.6,121
609753,Overall,Overall,2006,19.6,137
609753,Overall,Overall,2007,19.2,127
609753,Overall,Overall,2008,19.1,118
609753,Overall,Overall,2009,19.5,120
609753,Overall,Overall,2010,19.6,126
609753,Overall,Overall,2011,20.4,113
609753,Overall,Overall,2012,20.2,118
609753,Overall,Overall,2013,20.4,122
609753,Overall,Overall,2014,20.3,111
609753,Overall,Overall,2015,20.1,146
400022,Overall,Overall,2012,19.7,146
400022,Overall,Overall,2013,19.9,145
400022,Overall,Overall,2014,20.0,127
400022,Overall,Overall,2015,19.2,125
400035,Overall,Overall,2008,19.0,35
400035,Overall,Overall,2009,18.7,62
400035,Overall,Overall,2010,17.0,65
400035,Overall,Overall,2011,17.9,73
400035,Overall,Overall,2012,18.2,87
400035,Overall,Overall,2013,19.1,74
400035,Overall,Overall,2014,19.6,75
400035,Overall,Overall,2015,18.8,75
609754,Overall,Overall,2002,17.8,109
609754,Overall,Overall,2003,17.8,118
609754,Overall,Overall,2004,17.2,95
609754,Overall,Overall,2005,16.7,121
609754,Overall,Overall,2006,16.9,115
609754,Overall,Overall,2007,17.6,100
609754,Overall,Overall,2008,17.7,111
609754,Overall,Overall,2009,18.4,111
609754,Overall,Overall,2010,17.5,95
609754,Overall,Overall,2011,17.5,90
609754,Overall,Overall,2012,18.0,120
609754,Overall,Overall,2013,17.9,117
609754,Overall,Overall,2014,17.6,59
609754,Overall,Overall,2015,17.4,115
400093,Overall,Overall,2012,14.5,62
400093,Overall,Overall,2013,14.1,48
400093,Overall,Overall,2014,14.8,37
400147,Overall,Overall,2013,12.9,84
400147,Overall,Overall,2014,13.8,78
400147,Overall,Overall,2015,13.2,31
400113,Overall,Overall,2014,,4
400113,Overall,Overall,2015,,6
400091,Overall,Overall,2012,15.0,82
400091,Overall,Overall,2013,14.9,40
400091,Overall,Overall,2014,16.1,79
400091,Overall,Overall,2015,15.9,87
400036,Overall,Overall,2010,19.3,12
400036,Overall,Overall,2011,18.7,16
400036,Overall,Overall,2012,17.8,34
400036,Overall,Overall,2013,18.3,30
400036,Overall,Overall,2014,18.6,37
400036,Overall,Overall,2015,20.0,40
609674,Overall,Overall,2001,14.5,368
609674,Overall,Overall,2002,14.5,386
609674,Overall,Overall,2003,14.8,324
609674,Overall,Overall,2004,15.0,334
609674,Overall,Overall,2005,15.2,345
609674,Overall,Overall,2006,14.7,407
609674,Overall,Overall,2007,14.6,357
609674,Overall,Overall,2008,14.9,328
609674,Overall,Overall,2009,14.1,380
609674,Overall,Overall,2010,15.0,219
609674,Overall,Overall,2011,14.3,189
609674,Overall,Overall,2012,14.7,194
609674,Overall,Overall,2013,14.7,169
609674,Overall,Overall,2014,14.5,144
609674,Overall,Overall,2015,14.8,203
400108,Overall,Overall,2011,15.3,45
400108,Overall,Overall,2012,14.5,55
400108,Overall,Overall,2013,14.0,56
400108,Overall,Overall,2014,14.5,57
400108,Overall,Overall,2015,16.3,24
400032,Overall,Overall,2009,18.3,104
400032,Overall,Overall,2010,16.8,104
400032,Overall,Overall,2011,16.2,126
400032,Overall,Overall,2012,16.2,139
400032,Overall,Overall,2013,16.5,96
400032,Overall,Overall,2014,16.6,122
400032,Overall,Overall,2015,15.6,112
400033,Overall,Overall,2001,14.7,47
400033,Overall,Overall,2002,15.3,44
400033,Overall,Overall,2003,16.5,34
400033,Overall,Overall,2004,16.1,49
400033,Overall,Overall,2005,17.4,39
400033,Overall,Overall,2006,17.1,61
400033,Overall,Overall,2007,17.0,59
400033,Overall,Overall,2008,17.3,90
400033,Overall,Overall,2009,17.9,106
400033,Overall,Overall,2010,16.6,89
400033,Overall,Overall,2011,16.5,161
400033,Overall,Overall,2012,15.9,121
400033,Overall,Overall,2013,16.0,94
400033,Overall,Overall,2014,16.1,75
400033,Overall,Overall,2015,15.3,94
400034,Overall,Overall,2004,18.3,63
400034,Overall,Overall,2005,19.3,90
400034,Overall,Overall,2006,18.9,152
400034,Overall,Overall,2007,19.9,144
400034,Overall,Overall,2008,19.0,123
400034,Overall,Overall,2009,19.1,183
400034,Overall,Overall,2010,19.1,217
400034,Overall,Overall,2011,19.0,185
400034,Overall,Overall,2012,19.6,169
400034,Overall,Overall,2013,19.1,215
400034,Overall,Overall,2014,19.8,180
400034,Overall,Overall,2015,19.6,194
610497,Overall,Overall,2015,,2
610244,Overall,Overall,2005,16.8,66
610244,Overall,Overall,2006,15.5,192
610244,Overall,Overall,2007,16.1,178
610244,Overall,Overall,2008,16.3,187
610244,Overall,Overall,2009,16.2,154
610244,Overall,Overall,2010,16.2,170
610244,Overall,Overall,2011,15.7,214
610244,Overall,Overall,2012,16.4,137
610244,Overall,Overall,2013,16.0,110
610244,Overall,Overall,2014,16.5,115
610244,Overall,Overall,2015,15.9,91
609759,Overall,Overall,2001,13.9,199
609759,Overall,Overall,2002,14.3,253
609759,Overall,Overall,2003,14.3,325
609759,Overall,Overall,2004,14.8,351
609759,Overall,Overall,2005,15.1,374
609759,Overall,Overall,2006,15.2,332
609759,Overall,Overall,2007,15.6,416
609759,Overall,Overall,2008,15.3,404
609759,Overall,Overall,2009,14.6,345
609759,Overall,Overall,2010,15.3,268
609759,Overall,Overall,2011,15.4,296
609759,Overall,Overall,2012,15.0,235
609759,Overall,Overall,2013,15.0,209
609759,Overall,Overall,2014,15.0,181
609759,Overall,Overall,2015,16.0,176
610499,Overall,Overall,2010,15.2,108
610499,Overall,Overall,2011,15.6,89
610499,Overall,Overall,2012,15.5,84
610499,Overall,Overall,2013,14.1,103
610499,Overall,Overall,2014,14.3,67
610499,Overall,Overall,2015,15.1,86
400038,Overall,Overall,2009,13.7,17
400038,Overall,Overall,2010,12.9,11
400038,Overall,Overall,2011,13.8,44
400038,Overall,Overall,2012,12.5,45
400038,Overall,Overall,2013,13.1,37
400038,Overall,Overall,2014,13.7,29
400038,Overall,Overall,2015,12.8,13
609761,Overall,Overall,2001,14.4,185
609761,Overall,Overall,2002,14.0,154
609761,Overall,Overall,2003,14.0,204
609761,Overall,Overall,2004,14.5,226
609761,Overall,Overall,2005,14.4,181
609761,Overall,Overall,2006,14.5,172
609761,Overall,Overall,2007,15.2,261
609761,Overall,Overall,2008,15.2,269
609761,Overall,Overall,2009,14.5,198
609761,Overall,Overall,2010,14.7,151
609761,Overall,Overall,2011,14.3,166
609761,Overall,Overall,2012,14.7,122
609761,Overall,Overall,2013,13.9,107
609761,Overall,Overall,2014,14.8,98
609761,Overall,Overall,2015,13.9,102
609702,Overall,Overall,2001,13.7,153
609702,Overall,Overall,2002,13.8,186
609702,Overall,Overall,2003,14.4,177
609702,Overall,Overall,2004,14.9,154
609702,Overall,Overall,2005,14.6,166
609702,Overall,Overall,2006,14.6,181
609702,Overall,Overall,2007,14.2,174
609702,Overall,Overall,2008,14.4,175
609702,Overall,Overall,2009,14.6,114
609702,Overall,Overall,2010,14.0,81
609702,Overall,Overall,2011,14.0,87
609702,Overall,Overall,2012,13.8,88
609702,Overall,Overall,2013,13.2,95
609702,Overall,Overall,2014,14.4,50
609702,Overall,Overall,2015,,2
609756,Overall,Overall,2001,15.8,624
609756,Overall,Overall,2002,16.0,605
609756,Overall,Overall,2003,16.5,615
609756,Overall,Overall,2004,16.8,609
609756,Overall,Overall,2005,17.1,627
609756,Overall,Overall,2006,17.1,553
609756,Overall,Overall,2007,17.8,624
609756,Overall,Overall,2008,17.8,662
609756,Overall,Overall,2009,17.4,644
609756,Overall,Overall,2010,17.3,657
609756,Overall,Overall,2011,16.9,846
609756,Overall,Overall,2012,17.3,778
609756,Overall,Overall,2013,17.3,571
609756,Overall,Overall,2014,17.7,624
609756,Overall,Overall,2015,17.3,677
610402,Overall,Overall,2006,19.4,104
610402,Overall,Overall,2007,19.4,103
610402,Overall,Overall,2008,19.6,89
610402,Overall,Overall,2009,19.8,106
610402,Overall,Overall,2010,19.3,109
610402,Overall,Overall,2011,20.7,113
610402,Overall,Overall,2012,21.0,91
610402,Overall,Overall,2013,22.0,96
610402,Overall,Overall,2014,21.0,98
610402,Overall,Overall,2015,20.7,97
610245,Overall,Overall,2006,13.4,57
610245,Overall,Overall,2007,14.4,73
610245,Overall,Overall,2008,14.4,100
610245,Overall,Overall,2009,14.3,78
610245,Overall,Overall,2010,14.5,90
610245,Overall,Overall,2011,14.9,95
610245,Overall,Overall,2012,14.7,58
610245,Overall,Overall,2013,14.2,77
610245,Overall,Overall,2014,15.2,59
610245,Overall,Overall,2015,14.0,70
609676,Overall,Overall,2001,14.5,293
609676,Overall,Overall,2002,14.8,298
609676,Overall,Overall,2003,14.8,251
609676,Overall,Overall,2004,15.2,226
609676,Overall,Overall,2005,15.3,254
609676,Overall,Overall,2006,15.1,291
609676,Overall,Overall,2007,15.1,329
609676,Overall,Overall,2008,15.1,260
609676,Overall,Overall,2009,14.5,356
609676,Overall,Overall,2010,14.9,200
609676,Overall,Overall,2011,14.7,345
609676,Overall,Overall,2012,14.8,329
609676,Overall,Overall,2013,14.6,231
609676,Overall,Overall,2014,14.7,262
609676,Overall,Overall,2015,14.6,200
609736,Overall,Overall,2002,13.3,40
609736,Overall,Overall,2003,14.1,54
609736,Overall,Overall,2004,15.0,55
609736,Overall,Overall,2005,14.4,68
609736,Overall,Overall,2006,14.4,73
609736,Overall,Overall,2007,14.4,54
609736,Overall,Overall,2008,14.4,86
609736,Overall,Overall,2009,14.2,95
609736,Overall,Overall,2010,14.4,75
609736,Overall,Overall,2011,14.1,75
609736,Overall,Overall,2012,14.7,65
609736,Overall,Overall,2013,13.9,51
609736,Overall,Overall,2014,14.1,24
400094,Overall,Overall,2012,16.3,80
400094,Overall,Overall,2013,16.0,90
400094,Overall,Overall,2014,16.3,110
400094,Overall,Overall,2015,17.4,98
610565,Overall,Overall,2014,13.5,47
610565,Overall,Overall,2015,13.1,25
400176,Overall,Overall,2015,12.9,11
400175,Overall,Overall,2015,,1
609704,Overall,Overall,2001,14.0,342
609704,Overall,Overall,2002,14.5,325
609704,Overall,Overall,2003,14.2,390
609704,Overall,Overall,2004,14.4,367
609704,Overall,Overall,2005,15.4,427
609704,Overall,Overall,2006,15.5,327
609704,Overall,Overall,2007,15.9,336
609704,Overall,Overall,2008,15.7,357
609704,Overall,Overall,2009,15.3,332
609704,Overall,Overall,2010,15.4,317
609704,Overall,Overall,2011,16.0,332
609704,Overall,Overall,2012,15.9,333
609704,Overall,Overall,2013,15.6,259
609704,Overall,Overall,2014,15.8,237
609704,Overall,Overall,2015,15.5,204
609705,Overall,Overall,2001,13.6,142
609705,Overall,Overall,2002,13.8,165
609705,Overall,Overall,2003,14.1,166
609705,Overall,Overall,2004,14.2,158
609705,Overall,Overall,2005,14.2,178
609705,Overall,Overall,2006,14.5,186
609705,Overall,Overall,2007,13.8,230
609705,Overall,Overall,2008,14.0,250
609705,Overall,Overall,2009,13.4,191
609705,Overall,Overall,2010,14.3,245
609705,Overall,Overall,2011,14.0,198
609705,Overall,Overall,2012,14.1,149
609705,Overall,Overall,2013,14.3,100
609705,Overall,Overall,2014,14.4,89
609705,Overall,Overall,2015,14.4,89
400042,Overall,Overall,2011,15.1,80
400042,Overall,Overall,2012,14.0,74
400042,Overall,Overall,2013,16.3,82
400042,Overall,Overall,2014,17.2,93
609708,Overall,Overall,2001,14.5,193
609708,Overall,Overall,2002,14.7,178
609708,Overall,Overall,2003,14.2,283
609708,Overall,Overall,2004,14.5,251
609708,Overall,Overall,2005,15.1,239
609708,Overall,Overall,2006,15.0,236
609708,Overall,Overall,2007,15.0,272
609708,Overall,Overall,2008,14.9,317
609708,Overall,Overall,2009,15.0,320
609708,Overall,Overall,2010,14.8,348
609708,Overall,Overall,2011,15.3,410
609708,Overall,Overall,2012,15.4,370
609708,Overall,Overall,2013,15.0,319
609708,Overall,Overall,2014,15.9,280
609708,Overall,Overall,2015,16.1,254
609709,Overall,Overall,2001,14.1,255
609709,Overall,Overall,2002,14.1,246
609709,Overall,Overall,2003,14.2,234
609709,Overall,Overall,2004,14.2,240
609709,Overall,Overall,2005,14.5,316
609709,Overall,Overall,2006,14.2,309
609709,Overall,Overall,2007,15.1,210
609709,Overall,Overall,2008,14.8,217
609709,Overall,Overall,2009,14.7,319
609709,Overall,Overall,2010,14.6,241
609709,Overall,Overall,2011,14.0,280
609709,Overall,Overall,2012,15.0,231
609709,Overall,Overall,2013,15.0,164
609709,Overall,Overall,2014,15.5,138
609709,Overall,Overall,2015,15.3,105
609693,Overall,Overall,2001,14.6,224
609693,Overall,Overall,2002,14.6,287
609693,Overall,Overall,2003,15.1,328
609693,Overall,Overall,2004,16.1,241
609693,Overall,Overall,2005,15.6,260
609693,Overall,Overall,2006,15.3,161
609693,Overall,Overall,2012,20.0,239
609693,Overall,Overall,2013,20.7,273
609693,Overall,Overall,2014,20.6,240
609693,Overall,Overall,2015,20.6,280
610558,Overall,Overall,2015,18.3,194
610383,Overall,Overall,2008,16.4,79
610383,Overall,Overall,2009,16.1,85
610383,Overall,Overall,2010,15.7,78
610383,Overall,Overall,2011,15.7,69
610383,Overall,Overall,2012,16.2,93
610383,Overall,Overall,2013,16.9,90
610383,Overall,Overall,2014,16.3,92
610383,Overall,Overall,2015,15.7,69
609694,Overall,Overall,2001,16.4,73
609694,Overall,Overall,2002,16.9,107
609694,Overall,Overall,2003,16.9,120
609694,Overall,Overall,2004,16.8,158
609694,Overall,Overall,2005,16.9,149
609694,Overall,Overall,2006,16.6,203
609694,Overall,Overall,2007,14.3,13
609694,Overall,Overall,2008,15.4,205
609694,Overall,Overall,2009,15.4,185
609694,Overall,Overall,2010,15.8,206
609694,Overall,Overall,2011,15.8,208
609694,Overall,Overall,2012,16.9,244
609694,Overall,Overall,2013,16.5,227
609694,Overall,Overall,2014,17.2,244
609694,Overall,Overall,2015,16.8,228
609710,Overall,Overall,2001,13.4,115
609710,Overall,Overall,2002,14.0,141
609710,Overall,Overall,2003,14.1,152
609710,Overall,Overall,2004,15.1,138
609710,Overall,Overall,2005,14.9,193
609710,Overall,Overall,2006,14.9,211
609710,Overall,Overall,2007,15.1,244
609710,Overall,Overall,2008,14.9,301
609710,Overall,Overall,2009,14.4,248
609710,Overall,Overall,2010,14.7,226
609710,Overall,Overall,2011,14.7,246
609710,Overall,Overall,2012,15.1,238
609710,Overall,Overall,2013,14.9,238
609710,Overall,Overall,2014,15.4,173
609710,Overall,Overall,2015,15.0,144
609711,Overall,Overall,2001,13.0,182
609711,Overall,Overall,2002,13.3,156
609711,Overall,Overall,2003,13.7,202
609711,Overall,Overall,2004,13.6,178
609711,Overall,Overall,2005,13.9,199
609711,Overall,Overall,2006,13.8,215
609711,Overall,Overall,2007,14.1,174
609711,Overall,Overall,2008,14.1,150
609711,Overall,Overall,2009,14.1,145
609711,Overall,Overall,2010,14.2,128
609711,Overall,Overall,2011,14.5,142
609711,Overall,Overall,2012,14.6,131
609711,Overall,Overall,2013,14.1,121
609711,Overall,Overall,2014,14.0,110
609711,Overall,Overall,2015,14.0,93
609712,Overall,Overall,2001,13.7,96
609712,Overall,Overall,2002,14.2,99
609712,Overall,Overall,2003,14.2,92
609712,Overall,Overall,2004,13.9,100
609712,Overall,Overall,2005,14.6,76
609712,Overall,Overall,2006,14.6,117
609712,Overall,Overall,2008,14.7,111
609712,Overall,Overall,2009,14.8,126
609712,Overall,Overall,2010,14.8,111
609712,Overall,Overall,2011,14.0,112
609712,Overall,Overall,2012,13.5,101
609712,Overall,Overall,2013,13.7,73
609712,Overall,Overall,2014,14.5,63
609712,Overall,Overall,2015,13.3,44
609768,Overall,Overall,2001,15.4,70
609768,Overall,Overall,2002,15.6,103
609768,Overall,Overall,2003,16.4,109
609768,Overall,Overall,2004,17.6,146
609768,Overall,Overall,2005,17.3,144
609768,Overall,Overall,2006,16.5,175
609768,Overall,Overall,2007,17.7,141
609768,Overall,Overall,2008,15.3,255
609768,Overall,Overall,2009,15.2,201
609768,Overall,Overall,2010,15.2,153
609768,Overall,Overall,2011,15.0,134
609768,Overall,Overall,2012,14.9,131
609768,Overall,Overall,2013,14.6,105
609768,Overall,Overall,2014,14.7,93
609768,Overall,Overall,2015,14.9,58
609741,Overall,Overall,2001,17.3,362
609741,Overall,Overall,2002,17.1,343
609741,Overall,Overall,2003,16.3,378
609741,Overall,Overall,2004,17.4,252
609741,Overall,Overall,2005,17.0,279
609741,Overall,Overall,2006,16.7,245
609741,Overall,Overall,2007,17.1,248
609741,Overall,Overall,2008,17.5,263
609741,Overall,Overall,2009,16.9,333
609741,Overall,Overall,2010,17.7,299
609741,Overall,Overall,2011,17.4,350
609741,Overall,Overall,2012,17.8,356
609741,Overall,Overall,2013,17.3,350
609741,Overall,Overall,2014,17.3,440
609741,Overall,Overall,2015,17.1,363
609713,Overall,Overall,2001,16.0,249
609713,Overall,Overall,2002,16.5,326
609713,Overall,Overall,2003,16.3,338
609713,Overall,Overall,2004,16.5,323
609713,Overall,Overall,2005,16.4,339
609713,Overall,Overall,2006,16.2,256
609713,Overall,Overall,2007,16.1,425
609713,Overall,Overall,2008,15.7,424
609713,Overall,Overall,2009,15.8,372
609713,Overall,Overall,2010,15.3,391
609713,Overall,Overall,2011,15.6,358
609713,Overall,Overall,2012,16.0,254
609713,Overall,Overall,2013,14.9,255
609713,Overall,Overall,2014,15.4,203
609713,Overall,Overall,2015,15.4,205
610384,Overall,Overall,2008,16.0,84
610384,Overall,Overall,2009,16.2,81
610384,Overall,Overall,2010,16.9,69
610384,Overall,Overall,2011,17.1,63
610384,Overall,Overall,2012,17.4,91
610384,Overall,Overall,2013,18.2,104
610384,Overall,Overall,2014,18.1,101
610384,Overall,Overall,2015,18.8,108
400104,Overall,Overall,2013,16.7,137
400104,Overall,Overall,2014,17.5,148
400104,Overall,Overall,2015,17.6,182
400164,Overall,Overall,2014,15.1,24
400148,Overall,Overall,2013,14.6,47
400148,Overall,Overall,2014,14.3,27
400148,Overall,Overall,2015,14.2,45
609783,Overall,Overall,2001,,2
609783,Overall,Overall,2002,,2
609783,Overall,Overall,2003,,2
609783,Overall,Overall,2004,,4
609783,Overall,Overall,2005,,2
609783,Overall,Overall,2010,,3
609783,Overall,Overall,2011,,2
609783,Overall,Overall,2013,,1
609783,Overall,Overall,2014,,2
609783,Overall,Overall,2015,,1
800011,Overall,Overall,2015,14.7,12
609678,Overall,Overall,2001,20.0,143
609678,Overall,Overall,2002,21.3,219
609678,Overall,Overall,2003,21.6,239
609678,Overall,Overall,2004,23.0,105
609678,Overall,Overall,2005,23.7,144
609678,Overall,Overall,2006,22.0,198
609678,Overall,Overall,2007,23.2,195
609678,Overall,Overall,2008,24.4,141
609678,Overall,Overall,2009,24.2,160
609678,Overall,Overall,2010,24.8,188
609678,Overall,Overall,2011,24.8,190
609678,Overall,Overall,2012,25.1,229
609678,Overall,Overall,2013,26.3,205
609678,Overall,Overall,2014,26.6,206
609678,Overall,Overall,2015,26.2,265
609764,Overall,Overall,2001,15.1,250
609764,Overall,Overall,2002,14.8,239
609764,Overall,Overall,2003,15.0,273
609764,Overall,Overall,2004,15.0,259
609764,Overall,Overall,2005,15.9,323
609764,Overall,Overall,2006,15.2,264
609764,Overall,Overall,2007,15.8,235
609764,Overall,Overall,2008,15.7,309
609764,Overall,Overall,2009,15.6,266
609764,Overall,Overall,2010,15.9,310
609764,Overall,Overall,2011,15.8,342
609764,Overall,Overall,2012,16.4,367
609764,Overall,Overall,2013,16.3,400
609764,Overall,Overall,2014,16.4,383
609764,Overall,Overall,2015,16.3,421
609762,Overall,Overall,2001,14.6,206
609762,Overall,Overall,2002,15.1,152
609762,Overall,Overall,2003,14.7,156
609762,Overall,Overall,2004,15.4,247
609762,Overall,Overall,2005,15.7,375
609762,Overall,Overall,2006,12.5,40
609762,Overall,Overall,2007,15.6,324
609762,Overall,Overall,2008,15.1,307
609762,Overall,Overall,2009,15.3,354
609762,Overall,Overall,2010,15.1,235
609762,Overall,Overall,2011,14.7,343
609762,Overall,Overall,2012,15.5,250
609762,Overall,Overall,2013,15.0,245
609762,Overall,Overall,2014,15.0,235
609762,Overall,Overall,2015,15.0,174
609715,Overall,Overall,2001,15.0,384
609715,Overall,Overall,2002,15.0,350
609715,Overall,Overall,2003,15.1,342
609715,Overall,Overall,2004,15.4,470
609715,Overall,Overall,2005,15.9,464
609715,Overall,Overall,2006,16.2,521
609715,Overall,Overall,2007,16.8,541
609715,Overall,Overall,2008,16.8,546
609715,Overall,Overall,2009,16.9,592
609715,Overall,Overall,2010,17.3,610
609715,Overall,Overall,2011,17.1,644
609715,Overall,Overall,2012,16.8,588
609715,Overall,Overall,2013,16.9,628
609715,Overall,Overall,2014,16.7,545
609715,Overall,Overall,2015,17.0,545
609716,Overall,Overall,2001,13.7,286
609716,Overall,Overall,2002,14.0,302
609716,Overall,Overall,2003,14.0,311
609716,Overall,Overall,2004,14.1,278
609716,Overall,Overall,2005,14.7,317
609716,Overall,Overall,2006,14.7,256
609716,Overall,Overall,2007,15.2,253
609716,Overall,Overall,2008,15.2,311
609716,Overall,Overall,2009,14.7,269
609716,Overall,Overall,2010,15.2,267
609716,Overall,Overall,2011,14.9,255
609716,Overall,Overall,2012,15.2,274
609716,Overall,Overall,2013,14.8,227
609716,Overall,Overall,2014,15.8,243
609716,Overall,Overall,2015,15.5,142
609718,Overall,Overall,2001,16.3,311
609718,Overall,Overall,2002,16.9,320
609718,Overall,Overall,2003,16.6,280
609718,Overall,Overall,2004,15.9,283
609718,Overall,Overall,2005,17.0,259
609718,Overall,Overall,2006,16.5,219
609718,Overall,Overall,2007,16.4,284
609718,Overall,Overall,2008,16.8,286
609718,Overall,Overall,2009,16.3,301
609718,Overall,Overall,2010,16.3,338
609718,Overall,Overall,2011,16.4,367
609718,Overall,Overall,2012,17.9,316
609718,Overall,Overall,2013,17.6,325
609718,Overall,Overall,2014,18.5,302
609718,Overall,Overall,2015,18.5,326
